wallet_address,realized_profit,unrealized_profit,combined_profit,realized_roi,unrealized_roi,combined_roi,winrate,tokens_traded,average_traded_time
D2qsKHgCxtbCYnDFpkoojtewnmNUReiDdrt8MFguzwe3,"[{'1D': 0}, {'7D': 0}, {'30D': -5.1953661614073425}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 0}, {'30D': -5.1953661614073425}]","[{'1D': 0}, {'7D': 0}, {'30D': -40.0907815515252}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 0}, {'30D': -100}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 0}, {'30D': 1}]","[{'1D': 0.004007936507936508}, {'7D': 0.004007936507936508}, {'30D': 0.004007936507936508}]"
11fYoCmgnzBig5MWQM1gru75SiT6pi73rJyfE4fq5cs,"[{'1D': 0}, {'7D': 36.45475248367672}, {'30D': 3190.4338614800577}]","[{'1D': 0}, {'7D': -228.1974924117995}, {'30D': -210.2074894762897}]","[{'1D': 0}, {'7D': -191.7427399281228}, {'30D': 2980.226372003768}]","[{'1D': 0}, {'7D': 8.624852115169688}, {'30D': 187.32279892306124}]","[{'1D': 0}, {'7D': 70.23532559576932}, {'30D': 67.93479555238369}]","[{'1D': 0}, {'7D': -100}, {'30D': 76.79798269448742}]","[{'1D': 0}, {'7D': 50}, {'30D': 63.1578947368421}]","[{'1D': 0}, {'7D': 6}, {'30D': 19}]","[{'1D': 0.08328703703703703}, {'7D': 0.08328703703703703}, {'30D': 0.08328703703703703}]"
DDVv6QrA6ngXH5HfiyfKTfpUScexHomuwLz5pVQXmHD2,"[{'1D': 0}, {'7D': 134.3138823930974}, {'30D': 3342.116374868711}]","[{'1D': 0}, {'7D': 0}, {'30D': 80.53202609394265}]","[{'1D': 0}, {'7D': 134.3138823930974}, {'30D': 3422.648400962654}]","[{'1D': 0}, {'7D': 25.43665422711291}, {'30D': 150.80067349794214}]","[{'1D': 0}, {'7D': 0}, {'30D': 43.39309928100602}]","[{'1D': 0}, {'7D': 74.56334577288712}, {'30D': 61.30053739629398}]","[{'1D': 0}, {'7D': 57.14285714285714}, {'30D': 63.63636363636363}]","[{'1D': 0}, {'7D': 7}, {'30D': 22}]","[{'1D': 0.07665798611111112}, {'7D': 0.07665798611111112}, {'30D': 0.07665798611111112}]"
DRXJy9urD8BqW1hdc2zCXfVsMyqgk7Mmu984skyAwKUQ,"[{'1D': 0}, {'7D': 1589.6275393533128}, {'30D': 3894.621436919812}]","[{'1D': 0}, {'7D': -38.01091960417657}, {'30D': -38.01085853166322}]","[{'1D': 0}, {'7D': 1551.6166197491364}, {'30D': 3856.610578388149}]","[{'1D': 0}, {'7D': 25.00018062490113}, {'30D': 17.01092169439967}]","[{'1D': 0}, {'7D': 95.03934393357795}, {'30D': 94.98297991441031}]","[{'1D': 0}, {'7D': 78.76152769670335}, {'30D': 84.3380861796433}]","[{'1D': 0}, {'7D': 75}, {'30D': 58.333333333333336}]","[{'1D': 0}, {'7D': 4}, {'30D': 60}]","[{'1D': 39.06556573589296}, {'7D': 39.06556573589296}, {'30D': 39.06556573589296}]"
27w4YZxrcuvKPGqyRWttT5qhtTiAhHxv5x8ecjff7pHK,"[{'1D': 2130.5339511586462}, {'7D': 16321.113662746535}, {'30D': 16321.113662746535}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 2130.5339511586462}, {'7D': 16321.113662746535}, {'30D': 16321.113662746535}]","[{'1D': 49.50739158655541}, {'7D': 114.9976986136462}, {'30D': 114.99769861364615}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 62.66072999512402}, {'7D': 18.955099397366478}, {'30D': 18.955099397366492}]","[{'1D': 66.66666666666666}, {'7D': 71.73913043478261}, {'30D': 71.73913043478261}]","[{'1D': 12}, {'7D': 46}, {'30D': 46}]","[{'1D': 0.28675925925925927}, {'7D': 0.28675925925925927}, {'30D': 0.28675925925925927}]"
35xkS5DWkjiXXkbMpatgTsCeddHYYwgAGsKDVVD8eKAR,"[{'1D': -121.89430050590539}, {'7D': 2288.572505206061}, {'30D': 5556.980030611429}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': -121.89430050590539}, {'7D': 2288.572505206061}, {'30D': 5556.980030611429}]","[{'1D': -12.239192220638527}, {'7D': 77.33013438039356}, {'30D': 91.73765672136696}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': -100}, {'7D': 26.1676797807789}, {'30D': 12.193669255720922}]","[{'1D': 25}, {'7D': 42.857142857142854}, {'30D': 52}]","[{'1D': 4}, {'7D': 14}, {'30D': 25}]","[{'1D': 9.44225018037518}, {'7D': 9.44225018037518}, {'30D': 9.44225018037518}]"
FvZnCE4C5varLSm3xoErfEsgEpTZar9bfwjCawBXFY3n,"[{'1D': 0}, {'7D': 1880.4481543416423}, {'30D': 11578.704275010083}]","[{'1D': 0}, {'7D': 0}, {'30D': 0.3063020407052275}]","[{'1D': 0}, {'7D': 1880.4481543416423}, {'30D': 11579.010577050787}]","[{'1D': 0}, {'7D': 45.98168127280633}, {'30D': 110.86104956384348}]","[{'1D': 0}, {'7D': 0}, {'30D': 98.31328929541286}]","[{'1D': 0}, {'7D': 54.01831872719367}, {'30D': 11.038131467750217}]","[{'1D': 0}, {'7D': 81.25}, {'30D': 73.80952380952381}]","[{'1D': 0}, {'7D': 16}, {'30D': 42}]","[{'1D': 0.36964831804281345}, {'7D': 0.36964831804281345}, {'30D': 0.36964831804281345}]"
7wfGF9raZGwHsAgVdkhY2dqiv4ZKaC4Prvs799eEQTap,"[{'1D': 0}, {'7D': -53.511564404347126}, {'30D': 3421.374583943366}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': -53.511564404347126}, {'30D': 3421.374583943366}]","[{'1D': 0}, {'7D': -11.218925505807793}, {'30D': 149.8738090840373}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': -100}, {'30D': 49.87380908403728}]","[{'1D': 0}, {'7D': 57.14285714285714}, {'30D': 58.333333333333336}]","[{'1D': 0}, {'7D': 7}, {'30D': 24}]","[{'1D': 0.082734375}, {'7D': 0.082734375}, {'30D': 0.082734375}]"
AGTY88iTUGs66jhYAZbuaUn3gSdrF8szNhUeXDUvrX3m,"[{'1D': -45.29331604631999}, {'7D': 362.80357044860244}, {'30D': -512.977148390093}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': -45.29331604631999}, {'7D': 362.80357044860244}, {'30D': -512.977148390093}]","[{'1D': -7.675914782797211}, {'7D': 3.6238554536730327}, {'30D': -6.029245910570035}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': -100}, {'7D': 96.37614454632697}, {'30D': -100}]","[{'1D': 33.33333333333333}, {'7D': 55.10204081632652}, {'30D': 53.76344086021505}]","[{'1D': 3}, {'7D': 49}, {'30D': 93}]","[{'1D': 25.617200744558993}, {'7D': 25.617200744558993}, {'30D': 25.617200744558993}]"
AxHrZRSv4VmvTy3pg36FKcU7eopvCDWSq8j6gGrKE5e1,"[{'1D': 2040.5750815192155}, {'7D': 23883.55568245938}, {'30D': 39896.4195793267}]","[{'1D': 706.1175811790473}, {'7D': -1310.1964731626895}, {'30D': 13111.744390395383}]","[{'1D': 2746.6926626982627}, {'7D': 22573.359209296686}, {'30D': 53008.163969722096}]","[{'1D': 204.37944560105626}, {'7D': 319.3786107690876}, {'30D': 226.9161051382865}]","[{'1D': 34.10011465812811}, {'7D': 17.91839936215806}, {'30D': 106.41242181391199}]","[{'1D': 175.1026064773955}, {'7D': 201.85824089633132}, {'30D': 212.80560186357548}]","[{'1D': 33.33333333333333}, {'7D': 33.33333333333333}, {'30D': 51.515151515151516}]","[{'1D': 3}, {'7D': 12}, {'30D': 33}]","[{'1D': 54.28390491452991}, {'7D': 54.28390491452991}, {'30D': 54.28390491452991}]"
